item,subject,semantic,frequency,phonology,simdrop,troyer,participant
flying_fish,50004,0.0001,0.5,0.1111111111111111,1,1,1.0
alligator,50004,0.1447596594696132,2.253,0.125,0,1,1.0
crocodile,50004,0.7101820284911673,2.064,0.0001,0,0,0.0
caiman,50004,0.5484929915148713,2.492760389,0.125,0,0,0.0
lizard,50004,0.5307053008208836,2.394,0.0001,0,0,0.0
bald_eagle,50004,0.3810958027996229,3.156549151,0.125,1,1,1.0
turkey,50004,0.4380231172217114,3.062,0.0001,0,1,0.0
alpaca,50004,0.2431089333820154,1.041,0.1666666666666666,2,2,1.0
llama,50004,0.6384377170234233,1.863,0.3333333333333333,2,2,0.0
dog,50006,0.0001,3.993,0.0001,2,2,2.0
cat,50006,0.7609456880598081,3.529,0.0001,0,0,0.0
fish,50006,0.3242571074183171,3.629,0.0001,1,1,0.0
bird,50006,0.4940852463512547,3.365,0.0001,0,1,1.0
horse,50006,0.3047400669794643,3.676,0.0001,1,1,1.0
mule,50006,0.5224373015038211,2.555,0.0001,0,0,0.0
cow,50006,0.4018777328341462,3.115,0.0001,0,0,0.0
raccoon,50006,0.2956496186251589,1.869,0.1999999999999999,1,1,0.0
pig,50006,0.4359442552687573,3.3,0.0001,0,1,1.0
spider,50006,0.4042437229245927,2.713,0.1999999999999999,0,0,1.0
polar_bear,50006,0.2813417025977305,3.822886948,0.1428571428571429,1,1,1.0
grizzly_bear,50006,0.6116197447261066,3.26904571,0.4444444444444444,0,1,0.0
walrus,50006,0.5065012630608365,1.763,0.1111111111111111,1,1,1.0
whale,50006,0.5510386973423161,2.76,0.3333333333333333,0,1,0.0
shrimp,50006,0.3796080769135188,2.648,0.0001,0,1,1.0
squirrel,50006,0.2573306222992082,2.447,0.0001,1,1,1.0
flamingo,50006,0.4476452097575395,1.785,0.0001,0,1,1.0
zebra,50006,0.4646493077157241,2.111,0.0001,0,1,0.0
gorilla,50006,0.4867397607253835,2.453,0.1999999999999999,0,0,0.0
orangutan,50006,0.5961936719335511,1.477,0.125,0,0,0.0
shark,50006,0.3577930848917892,2.884,0.0001,1,1,0.0
lizard,50006,0.5108501073993271,2.394,0.0001,0,1,0.0
komodo_dragon,50006,0.6402982069270744,2.440909082,0.0833333333333333,0,1,0.0
bear,50006,0.279760391568104,3.467,0.0833333333333333,1,1,0.0
tiger,50006,0.4142451115361343,2.976,0.0001,0,1,0.0
lion,50006,0.5121040691983272,2.894,0.25,0,0,0.0
antelope,50006,0.3567523128248204,1.708,0.1428571428571429,1,0,0.0
deer,50006,0.634953983564804,2.648,0.0001,0,1,0.0
cheetah,50006,0.3367207761050448,2.072,0.0001,1,1,0.0
jaguar,50006,0.5348479201492525,2.086,0.0001,0,0,0.0
puma,50006,0.4903012860228157,0.903,0.0001,1,0,0.0
mountain_lion,50006,0.4996643979534709,3.187520721,0.0909090909090909,0,1,0.0
liger,50006,0.4166790349500949,2.193124598,0.0001,0,1,0.0
swordfish,50006,0.1993102264910607,1.724,0.0001,1,1,1.0
cod,50006,0.5862542107596748,2.061,0.1428571428571429,0,1,0.0
salmon,50006,0.6941685493331173,2.525,0.0001,0,1,0.0
giraffe,50006,0.1742740125730895,1.887,0.0001,1,1,1.0
ape,50006,0.4982053649076443,2.694,0.0001,0,1,0.0
wolf,50006,0.4371237813792836,3.015,0.0001,0,1,0.0
koala_bear,50006,0.3175148909482395,2.053078443,0.125,2,2,0.0
dolphin,50006,0.3619787716436968,2.152,0.25,2,2,0.0
elephant,50007,0.0001,2.764,0.0001,2,2,2.0
giraffe,50007,0.5931813506573693,1.887,0.1428571428571429,0,0,0.0
